Type,Series,Run
S,96,3
S,96,4
S,96,5
S,96,6
S,96,7
S,96,8
S,96,12
S,96,13
S,96,14
S,96,15
S,96,16
S,96,17
S,96,21
S,96,25
S,96,26
S,96,27
S,96,28
S,96,29
S,96,30
S,96,34
S,96,35
S,96,36
S,96,37
S,114,4
S,114,5
S,114,6
S,114,7
S,114,8
S,114,12
S,114,13
S,114,14
S,114,15
S,114,16
S,114,17
S,114,21
S,114,22
S,114,23
S,114,24
S,114,25
S,114,26
S,114,30
S,114,31
S,114,32
S,114,33
S,115,3
S,115,4
S,115,5
S,115,6
S,115,7
S,115,8
S,115,12
S,115,13
S,115,14
S,115,15
S,115,16
S,115,17
S,115,21
S,115,22
S,115,23
S,115,24
S,115,25
S,115,26
S,115,30
S,115,31
S,115,32
S,115,33
S,115,34
S,115,35
S,118,3
S,118,4
S,118,5
S,118,6
S,118,7
S,118,8
S,118,12
S,118,13
S,118,17
S,118,18
S,118,19
S,118,20
S,118,21
S,118,22
S,118,26
S,118,27
S,118,28
S,118,29
S,118,30
S,118,31
S,118,35
S,118,36
S,118,40
S,170,3
S,170,4
S,170,5
S,170,6
S,170,7
S,170,8
S,170,15
S,170,16
S,170,17
S,171,3
S,171,4
S,171,5
S,171,6
S,171,7
S,171,8
S,171,12
S,171,13
S,171,14
S,171,15
S,171,16
S,171,20
S,171,21
S,171,22
S,171,27
S,171,28
S,171,29
S,171,30
S,171,31
S,171,32
S,171,36
S,171,37
S,171,41
S,171,42
S,171,43
S,171,44
S,171,45
S,171,46
S,171,50
S,171,51
S,171,52
S,171,53
S,202,5
S,202,6
S,202,7
S,202,8
S,202,9
S,202,10
S,205,4
S,205,5
S,205,6
S,205,7
S,205,8
S,205,9
S,205,17
S,205,18
S,205,19
S,205,20
S,205,21
S,205,22
S,205,27
S,205,28
S,205,29
S,205,30
S,205,31
S,205,32
S,205,37
S,205,38
S,206,4
S,206,5
S,206,6
S,206,7
S,206,8
S,206,9
S,206,14
S,206,15
S,206,16
S,206,20
S,206,21
S,212,4
S,212,5
S,212,6
S,212,7
S,212,8
S,212,9
S,212,14
S,212,15
S,212,16
S,212,20
S,212,25
S,212,26
S,212,27
S,212,28
S,212,29
S,212,30
S,212,35
S,212,36
S,212,37
S,212,38
S,212,39
S,212,40
S,222,4
S,222,5
S,222,6
S,222,7
S,222,8
S,222,9
S,222,14
S,222,15
S,222,16
S,222,21
S,222,22
S,222,23
S,222,24
S,222,25
S,222,26
S,222,31
S,222,32
S,222,33
S,229,4
S,229,9
S,229,10
S,229,11
S,229,12
S,229,13
S,229,14
S,229,19
S,229,20
S,229,21
S,229,22
S,229,23
S,229,24
S,231,5
S,231,6
S,233,4
S,233,5
S,233,6
S,233,7
S,233,8
S,233,9
S,233,14
S,233,15
S,233,16
S,233,17
S,233,18
S,233,19
S,233,24
S,233,25
S,233,26
S,233,27
S,233,28
S,247,4
S,247,5
S,247,6
S,247,7
S,247,8
S,247,9
S,247,14
S,247,15
S,247,16
S,247,17
S,247,18
S,247,19
S,247,24
S,247,25
S,247,26
S,247,27
S,247,28
S,247,29
S,247,34
S,247,35
S,247,36
S,247,37
S,264,4
S,264,5
S,264,6
S,264,7
S,264,8
S,264,9
S,264,14
S,264,15
S,264,20
S,264,21
S,264,22
S,264,23
S,264,24
S,264,25
S,264,30
S,264,31
S,264,32
S,264,33
S,264,34
S,264,35
S,264,40
S,264,41
S,264,48
S,264,49
S,264,50
S,264,51
S,264,52
S,264,53
S,264,58
S,264,59
S,264,60
S,264,65
S,264,66
S,264,67
S,264,68
S,264,69
S,264,70
S,264,75
S,264,76
S,264,77
S,264,78
S,264,79
S,264,80
S,264,85
S,286,4
S,286,5
S,286,6
S,286,7
S,286,8
S,302,4
S,310,4
S,310,5
S,310,6
S,310,7
S,310,8
S,310,9
S,310,14
S,310,15
S,310,19
S,316,4
S,316,5
S,316,6
S,316,7
S,316,8
S,316,9
S,316,14
S,316,15
S,316,16
S,316,17
S,316,18
