Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
0.125,0,0,0,0,0,0,0,0
0.375,0,0,0,0,0,0,0,0
0.625,5.29207e-06,5.29207e-06,4.93926e-06,5.30382e-06,0,0,1.06522e-05,7.80066e-06
0.875,-3.52805e-07,3.52805e-07,4.58646e-06,5.31554e-06,-8.00503e-07,5.66041e-07,3.67319e-06,5.57067e-06
1.125,-1.05841e-06,6.11076e-07,-7.05609e-07,4.98941e-07,0,0,-1.83659e-06,8.2135e-07
1.375,4.58646e-06,5.31554e-06,1.02313e-05,7.49243e-06,-4.00251e-07,4.00251e-07,1.50601e-05,9.57146e-06
1.625,-7.05609e-07,4.98941e-07,-1.41122e-06,7.05609e-07,0,0,-2.20391e-06,8.99744e-07
1.875,-3.52805e-07,3.52805e-07,4.58646e-06,5.31554e-06,-4.00251e-07,4.00251e-07,4.04051e-06,5.55854e-06
2.125,4.58646e-06,5.31554e-06,0,0,0,0,4.77515e-06,5.53422e-06
2.375,0,0,-3.52805e-07,3.52805e-07,5.60352e-06,6.0171e-06,4.77515e-06,5.53422e-06
2.625,-3.52805e-07,3.52805e-07,0,0,0,0,-3.67319e-07,3.67319e-07
2.875,0,0,0,0,0,0,0,0
3.125,-7.05609e-07,4.98941e-07,0,0,-4.00251e-07,4.00251e-07,-1.10196e-06,6.36215e-07
3.375,1.05841e-05,7.48412e-06,-3.52805e-07,3.52805e-07,0,0,1.06522e-05,7.80066e-06
3.625,5.29207e-06,5.29207e-06,-3.52805e-07,3.52805e-07,6.00377e-06,6.00377e-06,1.06522e-05,7.80066e-06
3.875,-3.52805e-07,3.52805e-07,0,0,0,0,-3.67319e-07,3.67319e-07
4.125,-3.52805e-07,3.52805e-07,0,0,0,0,-3.67319e-07,3.67319e-07
4.375,-3.52805e-07,3.52805e-07,0,0,0,0,-3.67319e-07,3.67319e-07
4.625,-3.52805e-07,3.52805e-07,0,0,0,0,-3.67319e-07,3.67319e-07
4.875,5.29207e-06,5.29207e-06,0,0,-8.00503e-07,5.66041e-07,4.77515e-06,5.53422e-06
5.125,-7.05609e-07,4.98941e-07,-7.05609e-07,4.98941e-07,-4.00251e-07,4.00251e-07,-1.83659e-06,8.2135e-07
5.375,-1.41122e-06,7.05609e-07,1.76402e-06,5.40839e-06,-1.60101e-06,8.00503e-07,-1.10196e-06,5.72594e-06
5.625,6.35048e-06,7.58325e-06,-3.52805e-06,1.11567e-06,-2.40151e-06,9.80412e-07,7.34637e-07,8.03077e-06
5.875,3.52804e-07,5.45423e-06,-3.52805e-06,1.11567e-06,4.40277e-06,6.0569e-06,7.34638e-07,8.03077e-06
6.125,-1.41122e-06,7.05609e-07,6.70329e-06,7.57504e-06,-3.20201e-06,1.13208e-06,2.57123e-06,7.98866e-06
6.375,2.82244e-06,5.37376e-06,-3.88085e-06,1.17012e-06,-1.20075e-06,6.93256e-07,-2.20391e-06,5.76117e-06
6.625,-1.41122e-06,7.05609e-07,-2.46963e-06,9.33433e-07,0,0,-4.04051e-06,1.21826e-06
6.875,0,0,0,0,0,0,0,0
7.125,0,0,0,0,0,0,0,0
7.375,0,0,0,0,0,0,0,0
7.625,0,0,0,0,0,0,0,0
7.875,0,0,0,0,0,0,0,0
8.125,0,0,0,0,0,0,0,0
8.375,0,0,0,0,0,0,0,0
8.625,0,0,0,0,0,0,0,0
8.875,0,0,0,0,0,0,0,0
9.125,0,0,0,0,6.00377e-06,6.00377e-06,5.50978e-06,5.50978e-06
9.375,0,0,0,0,0,0,0,0
9.625,0,0,0,0,0,0,0,0
9.875,0,0,0,0,0,0,0,0
10.125,0,0,-3.52805e-07,3.52805e-07,0,0,-3.67319e-07,3.67319e-07
10.375,0,0,0,0,0,0,0,0
10.625,0,0,0,0,0,0,0,0
10.875,0,0,0,0,0,0,0,0
11.125,0,0,0,0,0,0,0,0
11.375,0,0,0,0,0,0,0,0
11.625,0,0,5.29207e-06,5.29207e-06,0,0,5.50978e-06,5.50978e-06
11.875,0,0,0,0,0,0,0,0
12.125,0,0,0,0,6.00377e-06,6.00377e-06,5.50978e-06,5.50978e-06
12.375,0,0,0,0,0,0,0,0
12.625,0,0,0,0,0,0,0,0
12.875,0,0,0,0,0,0,0,0
13.125,0,0,0,0,6.00377e-06,6.00377e-06,5.50978e-06,5.50978e-06
13.375,0,0,5.29207e-06,5.29207e-06,0,0,5.50978e-06,5.50978e-06
13.625,0,0,0,0,0,0,0,0
13.875,0,0,0,0,0,0,0,0
14.125,0,0,0,0,0,0,0,0
14.375,0,0,0,0,0,0,0,0
14.625,0,0,0,0,0,0,0,0
14.875,0,0,0,0,0,0,0,0
15.125,0,0,0,0,0,0,0,0
15.375,0,0,0,0,0,0,0,0
15.625,0,0,0,0,0,0,0,0
15.875,5.29207e-06,5.29207e-06,0,0,0,0,5.50978e-06,5.50978e-06
16.125,0,0,0,0,0,0,0,0
16.375,5.29207e-06,5.29207e-06,0,0,0,0,5.50978e-06,5.50978e-06
16.625,0,0,0,0,0,0,0,0
16.875,-3.52805e-07,3.52805e-07,0,0,0,0,-3.67319e-07,3.67319e-07
17.125,0,0,0,0,0,0,0,0
17.375,0,0,0,0,0,0,0,0
17.625,0,0,0,0,0,0,0,0
17.875,0,0,0,0,0,0,0,0
18.125,0,0,0,0,0,0,0,0
18.375,0,0,0,0,0,0,0,0
18.625,0,0,0,0,0,0,0,0
18.875,0,0,0,0,0,0,0,0
19.125,0,0,0,0,0,0,0,0
19.375,0,0,0,0,0,0,0,0
19.625,0,0,0,0,0,0,0,0
19.875,0,0,0,0,0,0,0,0
sum,4.55118e-05,1.92949e-05,2.57547e-05,1.70189e-05,2.24141e-05,1.48902e-05,9.47683e-05,3.00708e-05
ep,188962,434.698,188962,434.698,166562,408.12
