Series,EP,err,onpeak 02,err,offpeak 02,err,bgc 02,err,onpeak 06,err,offpeak 06,err,bgc 06,err,onpeak 16,err,offpeak 16,err,bgc 16,err,EPG/EP,err
253,2801330,1673.72,4,2.00,25,5.00,2.33,2.38,159,12.61,838,28.95,103.13,14.66,160,12.65,1172,34.23,81.87,15.43,,
270,270685,520.27,9,3.00,38,6.16,6.47,3.40,19,4.36,82,9.06,13.53,4.95,16,4.00,112,10.58,8.53,4.84,,
289,1384470,1176.64,59,7.68,196,14.00,45.93,8.49,62,7.87,470,21.68,30.67,9.66,71,8.43,546,23.37,34.60,10.36,,
290,565518,752.01,23,4.80,69,8.31,18.40,5.25,34,5.83,171,13.08,22.60,6.74,31,5.57,245,15.65,14.67,6.88,,
291,392172,626.24,20,4.47,34,5.83,17.73,4.72,23,4.80,117,10.82,15.20,5.55,16,4.00,139,11.79,6.73,5.03,,
292,1741960,1319.83,60,7.75,247,15.72,43.53,8.74,96,9.80,520,22.80,61.33,11.43,90,9.49,702,26.50,43.20,11.70,,
304,779696,883.00,31,5.57,95,9.75,24.67,6.11,34,5.83,233,15.26,18.47,7.04,53,7.28,308,17.55,32.47,8.58,,
305,694916,833.62,32,5.66,69,8.31,27.40,6.05,36,6.00,196,14.00,22.93,7.00,30,5.48,263,16.22,12.47,6.89,,
311,119532,345.73,12,3.46,36,6.00,9.60,3.79,10,3.16,57,7.55,6.20,3.71,15,3.87,83,9.11,9.47,4.53,,
313,1330620,1153.53,64,8.00,301,17.35,43.93,9.17,94,9.70,565,23.77,56.33,11.47,97,9.85,881,29.68,38.27,12.48,,
317,576021,758.96,22,4.69,126,11.22,13.60,5.51,30,5.48,273,16.52,11.80,6.94,41,6.40,345,18.57,18.00,8.00,,
sum,10656920,3264.49,336,18.33,1236,35.16,253.60,20.45,597,24.43,3522,59.35,362.20,28.84,620,24.90,4796,69.25,300.27,30.66,8.60E-005,8.78E-006
